Condition,Symptoms,Medicine,Effectiveness,Side_Effects,Salts,Public_Review
Headache,Persistent pain in the head,Reliefol,High,"Drowsiness, Nausea","Acetaminophen, Caffeine",Reliefol worked wonders for my headaches. Quick relief!
Allergies,"Sneezing, Itchy eyes, Runny nose",Allegra,Moderate,"Dry mouth, Headache",Fexofenadine,"Allegra helps with my allergies, but the dry mouth is annoying."
Insomnia,"Difficulty falling asleep, frequent waking during the night",SleepWell,Very High,None,"Melatonin, Valerian Root",SleepWell is a game-changer for my insomnia. Highly recommend!
High Blood Pressure,"Headache, Shortness of breath, Chest pain",HypoPressure,Moderate,"Dizziness, Fatigue","Amlodipine, Hydrochlorothiazide",HypoPressure has helped stabilize my blood pressure levels.
Common Cold,"Sneezing, Coughing, Sore throat, Fatigue",ColdEase,High,None,"Vitamin C, Zinc",ColdEase is my go-to for fighting off a cold. Effective and fast!
Migraine,"Intense throbbing in one area, Visual disturbances",MigraineRelief,Very High,"Nausea, Sensitivity to light",Sumatriptan,MigraineRelief is a lifesaver during migraine attacks.
Acid Reflux,"Heartburn, Regurgitation, Chest pain",AcidGuard,High,Upset stomach,Esomeprazole,AcidGuard provides effective relief from acid reflux symptoms.
Arthritis,"Joint pain, Swelling, Stiffness, Reduced range of motion",FlexiJoint,Moderate,"Upset stomach, Rash","Glucosamine, Chondroitin","FlexiJoint helps with my arthritis pain, but the rash can be bothersome."
Allergic Reactions,"Itchy skin, Rash, Swelling, Shortness of breath",AntihistamineCream,High,None,Diphenhydramine,AntihistamineCream is my go-to for allergic skin reactions. It works fast.
Diabetes,"Increased thirst, Frequent urination, Fatigue",GlucoControl,Very High,None,Metformin,GlucoControl has been effective in managing my blood sugar levels.
Anxiety,"Excessive worrying, Restlessness",CalmPill,Moderate,"Drowsiness, Dry mouth","L-Theanine, Ashwagandha","CalmPill helps take the edge off my anxiety, but the drowsiness can be a downside."
Asthma,"Shortness of breath, Wheezing, Chest tightness",BreatheEZ,High,None,Albuterol,BreatheEZ is a reliable inhaler for managing my asthma symptoms.
Acne,"Pimples, Blackheads, Red spots, Inflammation",ClearSkin,High,"Dry skin, Irritation","Salicylic acid, Benzoyl peroxide","ClearSkin has been effective in clearing up my acne. Minor irritation, but worth it."
Hypothyroidism,"Fatigue, Weight gain, Dry skin, Cold intolerance",ThyroBalance,Moderate,None,Levothyroxine,ThyroBalance has helped improve my energy levels with no noticeable side effects.
Nausea,"Feeling of sickness in the stomach, Vomiting",AntiNausea,High,"Drowsiness, Dry mouth",Ondansetron,AntiNausea is my go-to for relieving nausea. Works like a charm.
Osteoporosis,"Brittle bones, Fractures, Back pain",BoneFortify,Very High,None,"Calcium, Vitamin D",BoneFortify has been crucial in strengthening my bones. No side effects.
Hay Fever,"Sneezing, Runny nose, Itchy eyes",PollenShield,High,None,Loratadine,PollenShield is effective in preventing hay fever symptoms. No complaints.
Eczema,"Itchy, Inflamed skin, Rash, Dry, sensitive skin",EczemaRelief,Moderate,Skin irritation,"Hydrocortisone, Colloidal oatmeal","EczemaRelief provides relief, but the skin irritation can be a drawback."
High Heart Rate,"Difficulty breathing, Rapid heartbeat",CardioGuard,Very High,"Dizziness, Fatigue",Atenolol,CardioGuard has effectively controlled my high heart rate. Highly recommended.
Depression,"Persistent sadness, Loss of interest in activities",MoodStabilizer,High,"Weight gain, Drowsiness",Sertraline,"MoodStabilizer has helped lift my mood, but watch out for the drowsiness."
Seasonal Allergies,"Sneezing, Itchy eyes, Runny nose",Allegra,Moderate,"Dry mouth, Headache",Fexofenadine,"Allegra helps with my seasonal allergies, but the dry mouth is annoying."
Food Allergies,"Hives, Swelling, Abdominal pain, Nausea",EpiPen,High,"Anxiety, Rapid heartbeat",Epinephrine,EpiPen is a life-saver for my food allergies. Quick and effective.
Pet Allergies,"Sneezing, Itchy or watery eyes, Skin rash",Claritin,Moderate,"Dry mouth, Fatigue",Loratadine,Claritin provides relief from my pet allergies. Some fatigue but manageable.
Drug Allergies,"Skin rash, Itching, Swelling, Fever",Benadryl,High,"Drowsiness, Dry mouth",Diphenhydramine,Benadryl is effective in treating my drug allergies. Watch out for drowsiness.
Insect Sting Allergies,"Swelling, Redness, Itching, Difficulty breathing",Epipen,Very High,"Anxiety, Rapid heartbeat",Epinephrine,Epipen is essential for my insect sting allergies. Rapid relief and life-saving.
Latex Allergies,"Skin rash, Itching, Hives, Swelling",Zyrtec,Moderate,"Drowsiness, Dry mouth",Cetirizine,Zyrtec helps with my latex allergies. Mild drowsiness as a side effect.
Mold Allergies,"Sneezing, Coughing, Itchy eyes, Fatigue",Nasacort,High,"Nosebleeds, Headache",Triamcinolone,Nasacort is effective for my mold allergies. Some side effects but manageable.
Pollen Allergies,"Sneezing, Runny nose, Itchy throat, Fatigue",Flonase,Moderate,"Nosebleeds, Headache",Fluticasone,Flonase provides relief from my pollen allergies. Some side effects but worth it.
Skin Allergies,"Itchy skin, Rash, Hives, Redness",Hydrocortisone Cream,High,None,Hydrocortisone,Hydrocortisone Cream is my go-to for skin allergies. Works fast with no major side effects.
Contact Dermatitis,"Red rash, Itching, Swelling, Blisters",Cortizone-10,High,"Dryness, Burning sensation",Hydrocortisone,Cortizone-10 effectively treats my contact dermatitis. Mild dryness but quick relief.
Eczema,"Itchy, Inflamed skin, Rash, Dry, sensitive skin",EczemaRelief,Moderate,Skin irritation,Hydrocortisone,"Colloidal oatmeal EczemaRelief provides relief, but the skin irritation can be a drawback."
Psoriasis,"Red patches, Silvery scales, Itching, Burning sensation",Dovonex,High,"Skin irritation, Dryness",Calcipotriene,Dovonex has been effective in managing my psoriasis. Mild skin irritation is a trade-off.
Hives,"Raised, itchy welts on the skin",Zyrtec,Moderate,"Drowsiness, Dry mouth",Cetirizine,Zyrtec helps with my hives. Some drowsiness but manageable.
Angioedema,"Swelling beneath the skin, Abdominal pain",Epipen,Very High,"Anxiety, Rapid heartbeat",Epinephrine,Epipen is crucial for managing my angioedema. Rapid relief and life-saving.
Allergic Contact Dermatitis,"Red rash, Itching, Swelling, Blisters",Allegra Gel,High,"Dryness, Burning sensation",Fexofenadine,Allegra Gel effectively treats my allergic contact dermatitis. Mild dryness but quick relief.
Urticaria (Chronic Hives),"Recurring, itchy welts on the skin",Xyzal,Moderate,"Drowsiness, Dry mouth",Levocetirizine,Xyzal helps with my chronic hives. Some drowsiness but manageable.
Atopic Dermatitis,"Itchy, red, and cracked skin",Elidel,Moderate,"Burning sensation, Headache",Pimecrolimus,Elidel has been effective in managing my atopic dermatitis. Mild burning sensation as a side effect.
Seborrheic Dermatitis,"Scaly patches, Red skin, Dandruff",Nizoral,High,"Dryness, Itching",Ketoconazole,Nizoral is effective for my seborrheic dermatitis. Some dryness but worth it.
Coronary Artery Disease (CAD),"Chest pain, Shortness of breath, Fatigue",Aspirin,High,"Upset stomach, Bleeding risk",Acetylsalicylic Acid,"Aspirin has been crucial in managing my CAD. Some stomach discomfort, but effective."
Heart Failure,"Shortness of breath, Fatigue, Swelling in legs",Lasix,High,"Dehydration, Low blood pressure",Furosemide,Lasix helps with managing fluid buildup in my heart failure. Watch out for dehydration.
Angina,"Chest pain, Discomfort, Shortness of breath",Nitroglycerin,Very High,"Headache, Dizziness",Nitroglycerin,Nitroglycerin provides rapid relief for my angina. Minor headaches are a trade-off.
Arrhythmia,"Irregular heartbeat, Fluttering in the chest",Beta-Blockers,Moderate,"Fatigue, Dizziness",Metoprolol,Beta-Blockers help control my arrhythmia. Some fatigue and dizziness as side effects.
Hypertrophic Cardiomyopathy,"Shortness of breath, Chest pain, Fatigue",Verapamil,Moderate,"Constipation, Low blood pressure",Verapamil,Verapamil has been effective in managing my hypertrophic cardiomyopathy. Watch for constipation.
Atrial Fibrillation,"Rapid, irregular heartbeat",Warfarin,High,"Bleeding risk, Upset stomach",Warfarin,Warfarin is crucial in preventing blood clots in my atrial fibrillation. Some stomach discomfort but effective.
Myocardial Infarction (Heart Attack),"Chest pain, Shortness of breath, Sweating",Clopidogrel,High,"Bleeding risk, Upset stomach",Clopidogrel,Clopidogrel has been crucial in preventing further heart attacks. Some stomach discomfort but worth it.
Cardiomyopathy,"Shortness of breath, Fatigue, Swelling in legs",Ace Inhibitors,Moderate,"Cough, Low blood pressure",Enalapril,Ace Inhibitors help manage my cardiomyopathy. Watch for the cough side effect.
Congestive Heart Failure,"Shortness of breath, Fatigue, Swelling in legs",Digoxin,Moderate,"Nausea, Visual disturbances",Digoxin,Digoxin helps with my congestive heart failure. Watch for nausea and visual disturbances.
Peripheral Artery Disease (PAD),"Leg pain, Numbness, Weakness",Cilostazol,Moderate,"Headache, Dizziness",Cilostazol,Cilostazol has been effective in managing my PAD symptoms. Some headache and dizziness.
Rheumatic Heart Disease,"Chest pain, Shortness of breath, Fatigue",Penicillin,High,"Allergic reactions, Upset stomach",Penicillin,Penicillin is crucial in preventing and treating rheumatic heart disease. Watch for allergies.
Valvular Heart Disease,"Shortness of breath, Fatigue, Chest pain",Diuretics,Moderate,"Dehydration, Low blood pressure",Furosemide,Diuretics help manage fluid buildup in my valvular heart disease. Watch for dehydration.
Breast Cancer,"Breast lump, Changes in breast shape, Nipple discharge",Tamoxifen,High,"Hot flashes, Nausea",Tamoxifen,"Tamoxifen has been effective in treating my breast cancer. Some side effects, but manageable."
Lung Cancer,"Persistent cough, Chest pain, Shortness of breath",Chemotherapy,High,"Nausea, Hair loss",Various,Chemotherapy is a crucial part of my lung cancer treatment. Side effects are challenging but necessary.
Prostate Cancer,"Frequent urination, Difficulty urinating, Blood in urine",Lupron,High,"Hot flashes, Fatigue",Leuprolide,Lupron is effective in managing my prostate cancer. Hot flashes are a trade-off for its benefits.
Colon Cancer,"Change in bowel habits, Blood in stool, Abdominal pain",Fluorouracil,High,"Nausea, Diarrhea",Fluorouracil,Fluorouracil is crucial in my colon cancer treatment. Nausea and diarrhea are common but worth it.
Ovarian Cancer,"Abdominal bloating, Pelvic pain, Changes in bowel habits",Carboplatin,High,"Nausea, Fatigue",Carboplatin,"Carboplatin is a key part of my ovarian cancer treatment. Side effects can be challenging, but it's effective."
Pancreatic Cancer,"Abdominal pain, Jaundice, Unexplained weight loss",Gemcitabine,High,"Nausea, Low blood cell counts",Gemcitabine,Gemcitabine is essential in my pancreatic cancer treatment. Nausea and low blood cell counts are common side effects.
Skin Cancer (Melanoma),"Changes in mole, Itching, Skin discoloration",Ipilimumab,High,"Fatigue, Diarrhea",Ipilimumab,Ipilimumab has been effective in treating my melanoma. Side effects are manageable compared to the benefits.
Leukemia,"Fatigue, Frequent infections, Unexplained weight loss",Imatinib,High,"Nausea, Muscle cramps",Imatinib,Imatinib is crucial in managing my leukemia. Nausea and muscle cramps are common but tolerable.
Cervical Cancer,"Abnormal vaginal bleeding, Pelvic pain, Pain during intercourse",Cisplatin,High,"Nausea, Kidney damage",Cisplatin,Cisplatin is a key component of my cervical cancer treatment. Nausea and potential kidney damage are considerations.
Bladder Cancer,"Blood in urine, Pelvic pain, Frequent urination",Bacillus Calmette-Guerin (BCG),High,"Flu-like symptoms, Bladder irritation",BCG Vaccine,BCG has been effective in my bladder cancer treatment. Flu-like symptoms and bladder irritation are common but manageable.
Liver Cancer,"Abdominal pain, Unexplained weight loss, Jaundice",Sorafenib,High,"Hand-foot syndrome, Fatigue",Sorafenib,Sorafenib is crucial in managing my liver cancer. Hand-foot syndrome and fatigue are common side effects.
Influenza (Flu),"Fever, Cough, Fatigue",Oseltamivir,High,"Nausea, Vomiting",Oseltamivir,Oseltamivir effectively treats my flu symptoms. Nausea is a temporary drawback.
Common Cold,"Sneezing, Runny nose, Sore throat",Ibuprofen,Moderate,"Upset stomach, Dizziness",Ibuprofen,Ibuprofen helps alleviate my cold symptoms. Some dizziness but overall satisfied.
COVID-19,"Fever, Cough, Shortness of breath",Remdesivir,Moderate,"Nausea, Liver function issues",Remdesivir,Remdesivir has been helpful in managing my COVID-19 symptoms. Watch for potential side effects.
Chickenpox,"Itchy red spots, Fever, Fatigue",Acyclovir,High,"Nausea, Headache",Acyclovir,"Acyclovir is effective in treating my chickenpox. Some discomfort, but it speeds up the healing process."
Tuberculosis,"Persistent cough, Chest pain, Weight loss",Isoniazid,High,"Liver toxicity, Peripheral neuropathy",Isoniazid,Isoniazid is crucial in treating my tuberculosis. Side effects are monitored for effective treatment.
Strep Throat,"Sore throat, Fever, Swollen tonsils",Penicillin,Very High,"Allergic reactions, Upset stomach",Penicillin,Penicillin has been effective in treating my strep throat. Watch for allergies and stomach discomfort.
HIV/AIDS,"Fatigue, Rapid weight loss, Recurrent infections",Antiretroviral Therapy (ART),High,"Nausea, Headache",Various,Antiretroviral Therapy is crucial in managing my HIV/AIDS. Side effects are manageable for the positive outcomes.
Gonorrhea,"Painful urination, Unusual discharge, Pelvic pain",Ceftriaxone,Very High,"Allergic reactions, Diarrhea",Ceftriaxone,"Ceftriaxone is effective in treating my gonorrhea. Some discomfort, but it clears the infection."
Ringworm,"Itchy, Red, Circular rash",Clotrimazole,High,"Skin irritation, Burning sensation",Clotrimazole,Clotrimazole effectively treats my ringworm. Some skin irritation but worth it for the relief.
Candidiasis (Yeast Infection),"Itching, Burning, White discharge",Fluconazole,Moderate,"Nausea, Abdominal pain",Fluconazole,Fluconazole helps with my yeast infection. Watch for temporary discomfort.
Malaria,"Fever, Chills, Sweating",Chloroquine,High,"Nausea, Visual disturbances",Chloroquine,"Chloroquine is crucial in treating my malaria. Some side effects, but it saves lives."
Lyme Disease,"Bull's-eye rash, Fever, Fatigue",Doxycycline,High,"Sun sensitivity, Upset stomach",Doxycycline,Doxycycline has been effective in treating my Lyme disease. Watch for sun sensitivity and stomach discomfort.
Hepatitis B,"Jaundice, Abdominal pain, Fatigue",Tenofovir,High,"Nausea, Diarrhea",Tenofovir,"Tenofovir is crucial in managing my hepatitis B. Some discomfort, but it controls the infection."
Pneumonia,"Cough, Shortness of breath, Chest pain",Azithromycin,High,"Nausea, Diarrhea",Azithromycin,Azithromycin effectively treats my pneumonia. Some stomach discomfort but overall satisfied.
Athlete's Foot,"Itchy, Cracked skin between toes",Terbinafine,High,"Skin irritation, Burning sensation",Terbinafine,Terbinafine effectively treats my athlete's foot. Some skin irritation but worth it for the relief.
Syphilis,"Painless sores, Skin rash, Fever",Penicillin G,Very High,"Allergic reactions, Upset stomach",Penicillin G,Penicillin G is effective in treating my syphilis. Watch for allergies and stomach discomfort.
Norovirus Infection,"Nausea, Vomiting, Diarrhea",Rehydration Therapy,Moderate,"Abdominal cramps, Headache",Various,Rehydration therapy helps manage my norovirus infection. Some discomfort but aids in recovery.
Aspergillosis,"Cough, Shortness of breath, Chest pain",Voriconazole,High,"Visual disturbances, Nausea",Voriconazole,"Voriconazole is crucial in treating my aspergillosis. Some side effects, but it's effective against the infection."
Whooping Cough (Pertussis),"Severe coughing fits, Vomiting after coughing",Azithromycin,Moderate,"Nausea, Diarrhea",Azithromycin,Azithromycin helps with my whooping cough. Some stomach discomfort but aids in recovery.
Cryptococcosis,"Headache, Fever, Neck stiffness",Amphotericin B,High,"Infusion reactions, Kidney problems",Amphotericin B,Amphotericin B is crucial in treating my cryptococcosis. Watch for potential side effects.
